week,order_ID,item_name,amount,price_unit,price_total,item_type,category,day,time,store_type,store_name,promo,reorder,item_id,type_id,order_amount,order_price,day_num,storetype_num,storename_num,cat_num,time_num,promo_num,datetime,timestamp,dates,times,times_min,dates_days
4,8,KEIZERBROODJES 4ST,1,0.69,0.69,sandwiches,bakery,Monday,afternoon,supermarket,Aldi,False,True,2,0,3,5.07,1,2,1,0,0,0,2021-12-13 17:01:00,1639414860000000000,2021-12-13,17:01:00,1701,20211213
4,9,KANEELBRDJE,1,0.75,0.75,danish,bakery,Monday,afternoon,supermarket,Albert Heijn,False,True,18,4,5,11.31,1,2,0,0,0,0,2021-12-17 15:06:00,1639753560000000000,2021-12-17,15:06:00,1506,20211217
4,9,TIJGER HLF,1,1.19,1.19,bread,bakery,Monday,afternoon,supermarket,Albert Heijn,False,True,19,5,5,11.31,1,2,0,0,0,0,2021-12-17 15:06:00,1639753560000000000,2021-12-17,15:06:00,1506,20211217
5,10,BONI wraps 6st 370g,1,0.99,0.99,wraps,bakery,Monday,evening,supermarket,Colruyt,False,False,20,7,39,59.076885,1,2,2,0,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
5,10,BONI brood keizer 6x50g,3,0.68,2.04,sandwiches,bakery,Monday,evening,supermarket,Colruyt,False,True,8,0,39,59.076885,1,2,2,0,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
6,11,BONI brood keizer 6x50g,1,0.75,0.75,sandwiches,bakery,Monday,evening,supermarket,Colruyt,False,True,8,0,46,82.691596,1,2,2,0,1,0,2022-01-17 18:16:00,1642443360000000000,2022-01-17,18:16:00,1816,20220117
6,11,EVERYDAY stokbr wit voorgeb 6st 300g,2,0.35,0.7,bread,bakery,Monday,evening,supermarket,Colruyt,False,True,21,5,46,82.691596,1,2,2,0,1,0,2022-01-17 18:16:00,1642443360000000000,2022-01-17,18:16:00,1816,20220117
7,12,BONI brood keizer 6x50g,2,0.75,1.5,sandwiches,bakery,Wednesday,afternoon,supermarket,Colruyt,False,True,8,0,28,57.116077,5,2,2,0,0,0,2022-01-26 16:58:00,1643216280000000000,2022-01-26,16:58:00,1658,20220126
7,12,BONI pitabroodjes voorgebakken 6st 480g,1,0.76,0.76,pita bread,bakery,Wednesday,afternoon,supermarket,Colruyt,False,True,22,1,28,57.116077,5,2,2,0,0,0,2022-01-26 16:58:00,1643216280000000000,2022-01-26,16:58:00,1658,20220126
7,15,MINI TIJGER,4,0.4,1.6,sandwiches,bakery,Sunday,noon,bakery,Vanessa,False,True,11,0,7,6.2,2,0,8,0,3,0,2022-01-30 12:43:00,1643546580000000000,2022-01-30,12:43:00,1243,20220130
7,15,ABRIKOOS VIERKANT,1,1.1,1.1,danish,bakery,Sunday,noon,bakery,Vanessa,False,True,23,4,7,6.2,2,0,8,0,3,0,2022-01-30 12:43:00,1643546580000000000,2022-01-30,12:43:00,1243,20220130
7,15,CHOCOLADE BROODJE,1,1.1,1.1,danish,bakery,Sunday,noon,bakery,Vanessa,False,True,24,4,7,6.2,2,0,8,0,3,0,2022-01-30 12:43:00,1643546580000000000,2022-01-30,12:43:00,1243,20220130
7,15,GR LANG WIT,1,2.4,2.4,bread,bakery,Sunday,noon,bakery,Vanessa,False,True,25,5,7,6.2,2,0,8,0,3,0,2022-01-30 12:43:00,1643546580000000000,2022-01-30,12:43:00,1243,20220130
8,16,BONI brood keizer 6x50g,3,0.68,2.04,sandwiches,bakery,Wednesday,evening,supermarket,Colruyt,False,True,8,0,54,118.65543,5,2,2,0,1,0,2022-02-02 18:04:00,1643825040000000000,2022-02-02,18:04:00,1804,20220202
8,16,EVERYDAY bloem tarwe 1kg,1,0.39,0.39,flour,bakery,Wednesday,evening,supermarket,Colruyt,False,False,26,8,54,118.65543,5,2,2,0,1,0,2022-02-02 18:04:00,1643825040000000000,2022-02-02,18:04:00,1804,20220202
8,17,49G DOONY'S SUIKERDONUTS,2,0.99,1.98,donuts,bakery,Thursday,afternoon,supermarket,Delhaize,False,False,27,9,8,16.48,3,2,3,0,0,0,2022-02-03 15:12:00,1643901120000000000,2022-02-03,15:12:00,1512,20220203
8,17,GI WIT STOKBROOD,1,0.89,0.89,bread,bakery,Thursday,afternoon,supermarket,Delhaize,False,True,28,5,8,16.48,3,2,3,0,0,0,2022-02-03 15:12:00,1643901120000000000,2022-02-03,15:12:00,1512,20220203
8,18,PISTOLETS MIX,2,0.6,1.2,sandwiches,bakery,Sunday,noon,bakery,Vanessa,False,True,29,0,7,7.550000000000001,2,0,8,0,3,0,2022-02-06 12:31:00,1644150660000000000,2022-02-06,12:31:00,1231,20220206
