week,order_ID,item_name,amount,price_unit,price_total,item_type,category,day,time,store_type,store_name,promo,reorder,item_id,type_id,order_amount,order_price,day_num,storetype_num,storename_num,cat_num,time_num,promo_num,datetime,timestamp,dates,times,times_min,dates_days
6,17,SPAR NAT.APPELSAP 100% GL. 75CL,1,2.05,2.05,apple juice,beverages,Sunday,morning,supermarket,Spar,False,False,0,0,5,7.83,3,2,5,1,2,0,2022-01-23 11:17:00,1642936620000000000,2022-01-23,11:17:00,1117,20220123
2,2,SPAR APPELMOES GEZEEFD GL. 370G,1,0.99,0.99,apple sauce,canned foods,Friday,afternoon,supermarket,Spar,False,False,1,1,8,13.16,0,2,5,3,0,0,2021-12-03 17:30:00,1638552600000000000,2021-12-03,17:30:00,1730,20211203
8,21,APPEL GRANNY S 6ST,1,2.35,2.35,apples,fruit & vegetables,Monday,afternoon,supermarket,Delhaize,False,False,2,2,11,23.32,1,2,1,9,0,0,2022-01-31 15:15:00,1643642100000000000,2022-01-31,15:15:00,1515,20220131
2,3,DRAAGTASJE,1,0.05,0.05,bag,non-food,Tuesday,afternoon,supermarket,Delhaize,False,False,3,3,12,31.55385,5,2,1,12,0,0,2021-12-07 16:21:00,1638894060000000000,2021-12-07,16:21:00,1621,20211207
3,6,1 WOVEN PP DRAAGTAS,1,0.8,0.8,bag,non-food,Monday,afternoon,supermarket,Delhaize,False,True,4,3,11,17.41,1,2,1,12,0,0,2021-12-13 17:45:00,1639417500000000000,2021-12-13,17:45:00,1745,20211213
4,8,SHOPPINGBAG BRUIN,1,0.25,0.25,bag,non-food,Saturday,afternoon,supermarket,Delhaize,False,True,5,3,4,12.290000000000001,2,2,1,12,0,0,2021-12-18 17:05:00,1639847100000000000,2021-12-18,17:05:00,1705,20211218
6,16,SPAR BAKPAPIER 8M,1,2.05,2.05,baking paper,household,Friday,afternoon,supermarket,Spar,False,False,6,4,5,14.7,0,2,5,10,0,0,2022-01-21 15:08:00,1642777680000000000,2022-01-21,15:08:00,1508,20220121
7,18,BANANEN,2,0.25,0.5,bananas,fruit & vegetables,Monday,afternoon,supermarket,Aldi,False,False,7,5,7,6.26973,1,2,0,9,0,0,2022-01-24 17:32:00,1643045520000000000,2022-01-24,17:32:00,1732,20220124
8,21,365 BANAAN,1,1.09,1.09,bananas,fruit & vegetables,Monday,afternoon,supermarket,Delhaize,False,True,8,5,11,23.32,1,2,1,9,0,0,2022-01-31 15:15:00,1643642100000000000,2022-01-31,15:15:00,1515,20220131
4,9,GELE PAPRIKA,1,0.75,0.75,bell pellers,fruit & vegetables,Monday,afternoon,supermarket,Jumbo,False,False,9,6,12,18.1,1,2,3,9,0,0,2021-12-18 17:43:00,1639849380000000000,2021-12-18,17:43:00,1743,20211218
